message,label
u won a lottery,spam
what are the timings of the class,HAM
you won a lottery,SPAM
can u send me notes,ham
can u send me notes,ham
you won  a lottery,SPAM
buy a car,SPAM
can u send me notes,ham
congratulations you won a lottery!,SPAM
how are you,HAM
Iâ€™ve attached the photos from last weekend.,HAM
Act now! This deal expires today.,spam
Lowest prices guaranteed. Order today.,SPAM
Act now! This deal expires today.,spam
Act now! This deal expires today.,spam
Act now! This deal expires today.,spam
Act now! This deal expires today.,spam
Act now! This deal expires today.,spam
Act now! This deal expires today.,spam
Act now! This deal expires,spam
this deal expires,spam
this deal expires!,spam
grab the deal,spam
free free free,SPAM
LOAN IS HERE,SPAM
